Date,Mkt-RF,SMB,HML,RF,AppleR,MsftR,GoogleR,AmazR,NvdiaR,AppleR - RF,MsftR - RF,GoogleR - RF,AmazR - RF,NvdiaR - RF
20090218,-0.0033,-0.0084,-0.0076,0.00001,-0.0386,-0.0116,-0.0305,0.013,-0.0796,-0.0396,-0.0126,-0.0315,0.012,-0.0806
20090219,-0.0115,-0.0001,-0.0202,0.00001,0.0062,0.005,0.0117,-0.0064,0.027,0.0052,0.004,0.0107,-0.0074,0.026
20090220,-0.0116,-0.0011,-0.0094,0.00001,-0.046,-0.0439,-0.0473,0.029,-0.0474,-0.047,-0.0449,-0.0483,0.028,-0.0484
20090223,-0.0343,-0.0058,0.0077,0.00001,0.0354,-0.0023,0.046,-0.0313,0.0939,0.0344,-0.0033,0.045,-0.0323,0.0929
20090224,0.04,-0.0103,0.0308,0.00001,0.0124,-0.0122,-0.0104,0.0615,0.0101,0.0114,-0.0132,-0.0114,0.0605,0.0091
20090225,-0.0115,-0.0157,0.0034,0.00001,-0.0215,-0.0318,-0.0129,-0.0274,0.03,-0.0225,-0.0328,-0.0139,-0.0284,0.029
20090226,-0.0153,-0.0052,0.0135,0.00001,0,-0.0164,0.0024,-0.0219,0.0049,-0.001,-0.0174,0.0014,-0.0229,0.0039
20090227,-0.0201,0.0186,-0.0213,0.00001,-0.0157,-0.0223,-0.0319,0.0385,-0.0821,-0.0167,-0.0233,-0.0329,0.0375,-0.0831
20090302,-0.0475,-0.0028,-0.0036,0.00001,0.0064,0.0057,-0.0061,-0.0432,0.0368,0.0054,0.0047,-0.0071,-0.0442,0.0358
20090303,-0.0071,-0.0071,-0.0232,0.00001,0.0316,0.0151,-0.0197,-0.0065,0.0761,0.0306,0.0141,-0.0207,-0.0075,0.0751
20090304,0.0242,0.0054,-0.0095,0.00001,-0.0276,-0.0527,-0.0414,0.0519,-0.0283,-0.0286,-0.0537,-0.0424,0.0509,-0.0293
20090305,-0.0421,-0.0043,-0.0322,0.00001,-0.0379,0.0007,0.0092,0,0.0194,-0.0389,-0.0003,0.0082,-0.001,0.0184
20090306,0.002,0.0043,-0.0062,0.00001,-0.0262,-0.0085,-0.057,-0.0494,-0.0095,-0.0272,-0.0095,-0.058,-0.0504,-0.0105
20090309,-0.0109,-0.0092,0.0017,0.00001,0.0673,0.0878,0.0591,-0.0195,0.0865,0.0663,0.0868,0.0581,-0.0205,0.0855
20090310,0.0635,-0.0093,0.0434,0.00001,0.0442,0.0382,0.0324,0.0894,0.031,0.0432,0.0372,0.0314,0.0884,0.03
20090311,0.003,-0.0058,0.0054,0.00001,0.0393,-0.0058,0.0176,0.0426,0.0558,0.0383,-0.0068,0.0166,0.0416,0.0548
20090312,0.0416,0.0112,0.027,0.00001,-0.0029,-0.0212,0.0025,0.0146,-0.0041,-0.0039,-0.0222,0.0015,0.0136,-0.0051
20090313,0.0074,0.0022,0.0051,0.00001,-0.0058,-0.024,-0.0148,-0.0144,-0.0408,-0.0068,-0.025,-0.0158,-0.0154,-0.0418
20090316,-0.0055,-0.0099,0.0034,0.00001,0.044,0.04,0.0488,-0.0233,0.0511,0.043,0.039,0.0478,-0.0243,0.0501
20090317,0.032,0.0064,0.016,0.00001,0.0197,0.0036,-0.006,0.0657,0.0324,0.0187,0.0026,-0.007,0.0647,0.0314
20090318,0.0218,0,0.0406,0.00001,0,0.0106,-0.0096,-0.0028,-0.0118,-0.001,0.0096,-0.0106,-0.0038,-0.0128
20090319,-0.0103,0.0114,-0.0272,0.00001,0,-0.0047,0,-0.0169,-0.0556,-0.001,-0.0057,-0.001,-0.0179,-0.0566
20090320,-0.0195,-0.0034,-0.0089,0.00001,0.0579,0.0744,0.0557,0,0.0756,0.0569,0.0734,0.0547,-0.001,0.0746
20090323,0.0689,-0.008,0.0437,0.00001,-0.0104,-0.0218,-0.0034,0.08,-0.0469,-0.0114,-0.0228,-0.0044,0.079,-0.0479
20090324,-0.0193,-0.0105,-0.0177,0.00001,0,-0.0028,-0.0092,-0.037,0.0164,-0.001,-0.0038,-0.0102,-0.038,0.0154
20090325,0.0094,0.0094,0.0143,0.00001,0.0316,0.0531,0.0267,-0.0055,0.0645,0.0306,0.0521,0.0257,-0.0065,0.0635
20090326,0.0268,0.0195,-0.0008,0.00001,-0.0255,-0.0372,-0.0158,0.0166,-0.0076,-0.0265,-0.0382,-0.0168,0.0156,-0.0086
20090327,-0.0206,-0.0138,0.0018,0.00001,-0.0236,-0.0359,-0.0138,-0.0408,-0.0649,-0.0246,-0.0369,-0.0148,-0.0418,-0.0659
20090330,-0.0347,0.0184,-0.0392,0.00001,0.0054,0.0509,0.0152,0.0113,0.0041,0.0044,0.0499,0.0142,0.0103,0.0031
20090331,0.0129,-0.0064,0.0182,0.00001,0.0347,0.0512,0.0172,0.028,0.0285,0.0337,0.0502,0.0162,0.027,0.0275
20090401,0.0165,-0.0051,0.0164,0.00001,0.0387,-0.001,0.0237,0,0.0474,0.0377,-0.002,0.0227,-0.001,0.0464
20090402,0.0307,0.02,0.0051,0.00001,0.0273,-0.028,0.0198,0.0409,0.0679,0.0263,-0.029,0.0188,0.0399,0.0669
20090403,0.0102,-0.0015,0.0094,0.00001,0.0217,0.0005,-0.0043,0.0236,0.0035,0.0207,-0.0005,-0.0053,0.0226,0.0025
20090406,-0.0093,-0.0053,-0.0083,0.00001,-0.0284,0,-0.0261,-0.0026,-0.0352,-0.0294,-0.001,-0.0271,-0.0036,-0.0362
20090407,-0.0242,-0.0078,-0.0014,0.00001,0.0097,0.0229,0.01,-0.0308,0.0401,0.0087,0.0219,0.009,-0.0318,0.0391
20090408,0.0128,0.0112,0.0005,0.00001,0.0289,0.025,0.0287,0.0185,0.0561,0.0279,0.024,0.0277,0.0175,0.0551
20090409,0.0391,0.0022,0.0461,0.00001,0.0047,-0.0041,0.015,0.0364,-0.0332,0.0037,-0.0051,0.014,0.0354,-0.0342
20090413,0.0026,-0.0099,0.0235,0.00001,-0.014,-0.0123,-0.0243,-0.01,0.0069,-0.015,-0.0133,-0.0253,-0.011,0.0059
20090414,-0.0202,0.0006,-0.0304,0.00001,-0.0071,-0.0269,0.0293,-0.0228,-0.0273,-0.0081,-0.0279,0.0283,-0.0238,-0.0283
20090415,0.0112,-0.0021,0.0238,0.00001,0.0333,0.0494,0.0242,-0.0311,0.0246,0.0323,0.0484,0.0232,-0.0321,0.0236
20090416,0.0169,0.0131,0.0007,0.00001,0.0161,-0.0283,0.0092,0.0321,0.0068,0.0151,-0.0293,0.0082,0.0311,0.0058
20090417,0.0055,0.0082,0.0035,0.00001,-0.0249,-0.0307,-0.0336,0.0104,-0.0612,-0.0259,-0.0317,-0.0346,0.0094,-0.0622
20090420,-0.0432,0.0019,-0.0438,0.00001,0.0116,0.0193,0.0063,-0.0051,-0.0036,0.0106,0.0183,0.0053,-0.0061,-0.0046
20090421,0.0219,0.0075,0.0314,0.00001,-0.0023,-0.01,0.0063,0.0155,0.0327,-0.0033,-0.011,0.0053,0.0145,0.0317
20090422,-0.0061,0.0159,-0.012,0.00001,0.0323,0.0075,0.0021,0.0051,-0.0176,0.0313,0.0065,0.0011,0.0041,-0.0186
20090423,0.0066,-0.019,0.0024,0.00001,-0.0134,0.1052,0.0125,0.0177,0.0251,-0.0144,0.1042,0.0115,0.0167,0.0241
20090424,0.0177,0.0085,0.0009,0.00001,0.0068,-0.0244,-0.0092,0.0471,-0.0385,0.0058,-0.0254,-0.0102,0.0461,-0.0395
20090427,-0.0095,-0.0037,-0.0179,0.00001,-0.0045,-0.023,-0.0062,-0.0142,0.0036,-0.0055,-0.024,-0.0072,-0.0152,0.0026
20090428,-0.0021,0.0091,0.0013,0.00001,0.009,0.0161,0.0208,-0.0096,-0.0145,0.008,0.0151,0.0198,-0.0106,-0.0155
20090429,0.0241,0.0077,0.0128,0.00001,0.0045,0.0005,0.0112,-0.0316,0.0551,0.0035,-0.0005,0.0102,-0.0326,0.0541
20090430,-0.0004,-0.0029,-0.0067,0.00001,0.0111,-0.001,-0.0061,0.01,0.0174,0.0101,-0.002,-0.0071,0.009,0.0164
20090501,0.0045,-0.0047,-0.0022,0,0.0396,-0.0025,0.0213,-0.0199,0.0548,0.0396,-0.0025,0.0213,-0.0199,0.0548
20090504,0.0336,-0.0049,0.0317,0,0.0042,-0.0198,0.002,0.0101,-0.0422,0.0042,-0.0198,0.002,0.0101,-0.0422
20090505,-0.0027,0.0019,-0.0023,0,-0.0021,0,0.002,0.0251,-0.0203,-0.0021,0,0.002,0.0251,-0.0203
20090506,0.0145,-0.0214,0.0261,0,-0.0254,-0.0237,-0.0178,0.0024,-0.0727,-0.0254,-0.0237,-0.0178,0.0024,-0.0727
20090507,-0.0142,-0.007,-0.0089,0,0,0.0052,0.0272,-0.0341,-0.1381,0,0.0052,0.0272,-0.0341,-0.1381
20090508,0.0248,0.0011,0.0305,0,0.0043,-0.0051,0.002,-0.0152,0.0216,0.0043,-0.0051,0.002,-0.0152,0.0216
20090511,-0.0201,0.0131,-0.0248,0,-0.041,0.0295,-0.0225,0.0077,-0.0466,-0.041,0.0295,-0.0225,0.0077,-0.0466
20090512,-0.0031,-0.0088,-0.015,0,-0.0383,-0.007,-0.023,-0.0076,-0.0667,-0.0383,-0.007,-0.023,-0.0076,-0.0667
20090513,-0.0291,-0.0149,-0.0155,0,0.0281,0.0157,-0.0051,-0.0487,0.0143,0.0281,0.0157,-0.0051,-0.0487,0.0143
20090514,0.0111,0.0047,0.0103,0,-0.0046,0.008,0.0062,0.0135,0.0282,-0.0046,0.008,0.0062,0.0135,0.0282
20090515,-0.0102,0.0063,-0.0119,0,0.0343,0.0188,0.0174,-0.0213,0.0594,0.0343,0.0188,0.0174,-0.0213,0.0594
20090518,0.0313,0.0025,0.0211,0,0.0066,-0.0141,0.005,0.0326,0.0172,0.0066,-0.0141,0.005,0.0326,0.0172
20090519,-0.0005,0.0028,-0.0137,0,-0.011,0.0034,-0.004,0.0237,0.0297,-0.011,0.0034,-0.004,0.0237,0.0297
20090520,-0.0048,0.0002,-0.0117,0,-0.0156,-0.0275,-0.002,0.0026,-0.0041,-0.0156,-0.0275,-0.002,0.0026,-0.0041
20090521,-0.0168,-0.0012,0.0038,0,-0.0135,-0.0035,-0.0071,-0.0256,0.0165,-0.0135,-0.0035,-0.0071,-0.0256,0.0165
20090522,-0.0015,-0.0035,-0.006,0,0.0686,0.0299,0.0274,-0.0053,0.0528,0.0686,0.0299,0.0274,-0.0053,0.0528
20090526,0.0278,0.0155,0.0066,0,0.0171,-0.0103,0.003,0.037,0,0.0171,-0.0103,0.003,0.037,0
20090527,-0.018,0.0024,-0.0125,0,0.0147,0.0159,0.0118,-0.0179,0.0154,0.0147,0.0159,0.0118,-0.0179,0.0154
20090528,0.0135,-0.0139,0.0053,0,0.0062,0.0215,0.0166,0.0078,-0.0076,0.0062,0.0215,0.0166,0.0078,-0.0076
20090529,0.0138,0.0055,-0.0017,0,0.0268,0.0244,0.022,0.0052,0.046,0.0268,0.0244,0.022,0.0052,0.046
20090601,0.0272,0.0162,-0.008,0,0,0,0.0047,0.0641,-0.0073,0,0,0.0047,0.0641,-0.0073
20090602,0.0029,0.0085,-0.002,0,0.01,0.0154,0.0075,0.0241,-0.0295,0.01,0.0154,0.0075,0.0241,-0.0295
20090603,-0.0139,0.0082,-0.0082,0,0.0199,0.0046,0.0204,0.0071,0.0342,0.0199,0.0046,0.0204,0.0071,0.0342
20090604,0.0118,0.0012,0.0124,0,0.0078,0.0142,0.0091,0,-0.0037,0.0078,0.0142,0.0091,0,-0.0037
20090605,-0.0019,0.0016,-0.0061,0,-0.0058,-0.0041,-0.0126,0.0234,-0.0074,-0.0058,-0.0041,-0.0126,0.0234,-0.0074
20090608,-0.002,-0.01,0.006,0,-0.0078,0.0014,-0.0073,-0.0137,0.0558,-0.0078,0.0014,-0.0073,-0.0137,0.0558
20090609,0.0049,0.0034,-0.0024,0,-0.0176,0.0213,-0.0064,0.0069,0.0317,-0.0176,0.0213,-0.0064,0.0069,0.0317
20090610,-0.0035,-0.0034,-0.0046,0,-0.002,0.0124,-0.0083,-0.0046,-0.0137,-0.002,0.0124,-0.0083,-0.0046,-0.0137
20090611,0.0063,-0.0024,0.0035,0,-0.022,0.0219,-0.0102,-0.0115,-0.0035,-0.022,0.0219,-0.0102,-0.0115,-0.0035
20090612,0.0003,-0.0016,-0.0003,0,-0.0061,0.0039,-0.0188,-0.0187,-0.0174,-0.0061,0.0039,-0.0188,-0.0187,-0.0174
20090615,-0.0238,-0.0029,-0.0037,0,0.0021,0.0013,-0.0019,-0.0095,-0.0283,0.0021,0.0013,-0.0019,-0.0095,-0.0283
20090616,-0.0133,-0.0008,-0.0032,0,-0.0062,0.0098,-0.0019,-0.012,0.0255,-0.0062,0.0098,-0.0019,-0.012,0.0255
20090617,-0.0008,0.0099,-0.0102,0,0.0021,-0.0076,-0.0029,0.0049,-0.0177,0.0021,-0.0076,-0.0029,0.0049,-0.0177
20090618,0.0074,-0.0067,0.0041,0,0.0268,0.0243,0.0145,-0.0121,0.0072,0.0268,0.0243,0.0145,-0.0121,0.0072
20090619,0.0035,0.0027,0.0017,0,-0.0141,-0.0328,-0.0304,0.0172,-0.0538,-0.0141,-0.0328,-0.0304,0.0172,-0.0538
20090622,-0.0307,-0.0034,-0.0082,0,-0.0244,0.0026,-0.0039,-0.0458,-0.0076,-0.0244,0.0026,-0.0039,-0.0458,-0.0076
20090623,0.0008,-0.0113,0.0019,0,0.0146,0.0056,0.0089,-0.0202,0.0344,0.0146,0.0056,0.0089,-0.0202,0.0344
20090624,0.0078,0.0024,-0.0015,0,0.0267,0.0136,0.0156,0.0206,0.0517,0.0267,0.0136,0.0156,0.0206,0.0517
20090625,0.0219,0.0079,0.0001,0,0.02,-0.0185,0.0231,0.0379,0.014,0.02,-0.0185,0.0231,0.0379,0.014
20090626,0.0004,0.0156,0.0015,0,-0.0039,0.0218,-0.0028,0.0195,0,-0.0039,0.0218,-0.0028,0.0195,0
20090629,0.0082,-0.0109,0.0036,0,0.0039,-0.0038,-0.0057,-0.0095,-0.0242,0.0039,-0.0038,-0.0057,-0.0095,-0.0242
20090630,-0.0074,0.0025,-0.002,0,0.002,0.0114,-0.0066,0.0072,0.0035,0.002,0.0114,-0.0066,0.0072,0.0035
20090701,0.0054,0.015,0.0019,0.00001,-0.0196,-0.0279,-0.0248,-0.0239,-0.0353,-0.0206,-0.0289,-0.0258,-0.0249,-0.0363
20090702,-0.0289,-0.0065,-0.0109,0.00001,-0.01,-0.0073,0.0029,-0.027,-0.033,-0.011,-0.0083,0.0019,-0.028,-0.034
20090706,-0.0003,-0.0089,-0.0097,0.00001,-0.0222,-0.0289,-0.0312,-0.0176,-0.0455,-0.0232,-0.0299,-0.0322,-0.0186,-0.0465
20090707,-0.0193,0,-0.0014,0.00001,0.0124,0.0013,0.0141,-0.0308,0.004,0.0114,0.0003,0.0131,-0.0318,0.003
20090708,-0.002,-0.0059,-0.0111,0.00001,-0.0061,-0.0053,0.0199,0.0238,0.0198,-0.0071,-0.0063,0.0189,0.0228,0.0188
20090709,0.0035,-0.006,0.0125,0.00001,0.0164,-0.0022,0.0097,0.0078,0.0039,0.0154,-0.0032,0.0087,0.0068,0.0029
20090710,-0.0035,0.0093,-0.0054,0.00001,0.0263,0.0375,0.0241,-0.0051,0.0116,0.0253,0.0365,0.0231,-0.0061,0.0106
